dataset,arm,filter_params,seed,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
Beauty,full,6656,42,0.0332,0.0208,0.0546,0.0277,0.088,0.0361
Beauty,full,6656,43,0.0363,0.0234,0.0567,0.03,0.0879,0.0378
Beauty,full,6656,44,0.0315,0.0198,0.0518,0.0263,0.0819,0.0339
Beauty,full,6656,45,0.0353,0.0218,0.0566,0.0287,0.087,0.0363
Beauty,full,6656,46,0.036,0.0234,0.057,0.0301,0.0889,0.0381
Beauty,rank1,360,42,0.0346,0.0222,0.0556,0.0289,0.0893,0.0374
Beauty,rank1,360,43,0.0351,0.0226,0.0561,0.0294,0.0889,0.0376
Beauty,rank1,360,44,0.0373,0.0243,0.059,0.0313,0.0929,0.0398
Beauty,rank1,360,45,0.034,0.0213,0.0573,0.0288,0.0905,0.0371
Beauty,rank1,360,46,0.0343,0.0224,0.0549,0.029,0.0861,0.0369
Beauty,shared,104,42,0.0316,0.0206,0.0553,0.0282,0.0884,0.0365
Beauty,shared,104,43,0.0346,0.0225,0.055,0.029,0.0863,0.0369
Beauty,shared,104,44,0.0348,0.023,0.0564,0.0298,0.0889,0.038
Beauty,shared,104,45,0.0345,0.0218,0.0566,0.0289,0.0896,0.0372
Beauty,shared,104,46,0.0334,0.022,0.055,0.0289,0.0864,0.0368
Beauty,none,0,42,0.0263,0.0171,0.0445,0.023,0.0682,0.0289
Beauty,none,0,43,0.029,0.0189,0.046,0.0243,0.0697,0.0303
Beauty,none,0,44,0.0293,0.0192,0.0465,0.0247,0.0718,0.0311
Beauty,none,0,45,0.0267,0.0178,0.0439,0.0233,0.0716,0.0302
Beauty,none,0,46,0.0265,0.0179,0.0423,0.023,0.0653,0.0288
LastFM,full,6656,42,0.0385,0.0243,0.0624,0.0319,0.089,0.0386
LastFM,full,6656,43,0.0394,0.0265,0.0606,0.0334,0.0908,0.041
LastFM,full,6656,44,0.0376,0.0265,0.0642,0.0349,0.089,0.0411
LastFM,full,6656,45,0.0422,0.0286,0.0642,0.0356,0.0853,0.0409
LastFM,full,6656,46,0.0468,0.032,0.0633,0.0375,0.0963,0.0459
LastFM,rank1,360,42,0.045,0.029,0.0679,0.0364,0.1018,0.0449
LastFM,rank1,360,43,0.0413,0.0286,0.0642,0.0359,0.0917,0.0427
LastFM,rank1,360,44,0.0394,0.0252,0.0578,0.0312,0.0936,0.0402
LastFM,rank1,360,45,0.0431,0.0256,0.0642,0.0325,0.0982,0.0411
LastFM,rank1,360,46,0.045,0.0297,0.0725,0.0384,0.1037,0.0463
LastFM,shared,104,42,0.0459,0.0284,0.0697,0.0359,0.1,0.0435
LastFM,shared,104,43,0.0459,0.0298,0.0642,0.0358,0.0927,0.043
