run,backend,dataset,arm,seed,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
A,mps,Beauty,causal_full,42,0.0326,0.0208,0.0535,0.0275,0.0845,0.0352
A,mps,Beauty,causal_full,43,0.0308,0.0199,0.0508,0.0264,0.0801,0.0337
A,mps,Beauty,causal_full,44,0.0338,0.0215,0.0563,0.0287,0.0866,0.0363
A,mps,Beauty,causal_full,45,0.036,0.0229,0.0576,0.0299,0.0879,0.0375
A,mps,Beauty,causal_full,46,0.0347,0.0227,0.057,0.0298,0.0916,0.0386
A,mps,Beauty,causal_shared,42,0.037,0.0241,0.058,0.0309,0.0876,0.0383
A,mps,Beauty,causal_shared,43,0.0332,0.0218,0.0567,0.0293,0.0865,0.0368
A,mps,Beauty,causal_shared,44,0.0322,0.021,0.0533,0.0278,0.0826,0.0351
A,mps,Beauty,causal_shared,45,0.0334,0.0212,0.0556,0.0283,0.0857,0.0358
A,mps,Beauty,causal_shared,46,0.0354,0.0225,0.0576,0.0296,0.0881,0.0373
A,mps,Beauty,full,42,0.0372,0.0245,0.058,0.0312,0.086,0.0382
A,mps,Beauty,full,43,0.0351,0.0226,0.0567,0.0295,0.0899,0.0379
A,mps,Beauty,full,44,0.0361,0.0229,0.0591,0.0303,0.0903,0.0381
A,mps,Beauty,full,45,0.0368,0.0237,0.0591,0.0308,0.0912,0.0388
A,mps,Beauty,full,46,0.033,0.0212,0.0546,0.0282,0.0845,0.0357
A,mps,Beauty,none,42,0.0286,0.0188,0.0442,0.0238,0.0705,0.0304
A,mps,Beauty,none,43,0.0289,0.0184,0.0459,0.0239,0.068,0.0294
A,mps,Beauty,none,44,0.0305,0.0192,0.047,0.0245,0.0719,0.0307
A,mps,Beauty,none,45,0.0288,0.0186,0.0456,0.024,0.0747,0.0313
A,mps,Beauty,none,46,0.0313,0.0202,0.0472,0.0253,0.0711,0.0314
A,mps,Beauty,rank1,42,0.0363,0.0227,0.0571,0.0294,0.0863,0.0367
A,mps,Beauty,rank1,43,0.0335,0.0215,0.055,0.0283,0.0903,0.0372
A,mps,Beauty,rank1,44,0.0322,0.0204,0.0526,0.027,0.0831,0.0347
A,mps,Beauty,rank1,45,0.0373,0.0246,0.058,0.0312,0.0925,0.0399
A,mps,Beauty,rank1,46,0.0349,0.0224,0.0568,0.0294,0.0884,0.0373
A,mps,Beauty,shared,42,0.0345,0.022,0.0557,0.0288,0.0859,0.0364
A,mps,Beauty,shared,43,0.0334,0.0211,0.0538,0.0277,0.0842,0.0353
A,mps,Beauty,shared,44,0.0318,0.0202,0.053,0.027,0.0828,0.0345
A,mps,Beauty,shared,45,0.0343,0.0229,0.0562,0.0299,0.0886,0.038
A,mps,Beauty,shared,46,0.0348,0.0227,0.0567,0.0297,0.0872,0.0373
A,cpu,LastFM,full,42,0.0394,0.0269,0.0578,0.0328,0.0844,0.0395
A,cpu,LastFM,full,43,0.0431,0.027,0.0587,0.0321,0.0881,0.0394
A,cpu,LastFM,full,44,0.0394,0.0231,0.0633,0.0307,0.0954,0.0386
A,cpu,LastFM,full,45,0.0422,0.0269,0.0606,0.0327,0.0844,0.0388
A,cpu,LastFM,full,46,0.0367,0.0257,0.0606,0.0335,0.0872,0.0401
A,cpu,LastFM,none,42,0.033,0.0237,0.0468,0.0282,0.0651,0.033
A,cpu,LastFM,none,43,0.0394,0.0276,0.0587,0.0339,0.0853,0.0405
A,cpu,LastFM,none,44,0.033,0.0247,0.0477,0.0294,0.0679,0.0346
A,cpu,LastFM,none,45,0.0284,0.0199,0.0367,0.0226,0.0523,0.0264
A,cpu,LastFM,none,46,0.0339,0.024,0.055,0.0307,0.0706,0.0346
A,cpu,LastFM,rank1,42,0.0477,0.0336,0.0697,0.0408,0.1018,0.0491
A,cpu,LastFM,rank1,43,0.0404,0.0244,0.067,0.033,0.0963,0.0403
A,cpu,LastFM,rank1,44,0.0413,0.0262,0.0651,0.0338,0.0927,0.0407
A,cpu,LastFM,rank1,45,0.045,0.0287,0.0716,0.0375,0.0991,0.0444
A,cpu,LastFM,rank1,46,0.0413,0.0263,0.0697,0.0355,0.1064,0.0447
A,cpu,LastFM,shared,42,0.0431,0.0281,0.0633,0.0345,0.1037,0.0445
A,cpu,LastFM,shared,43,0.0468,0.0291,0.0633,0.0343,0.089,0.0408
A,cpu,LastFM,shared,44,0.0385,0.0254,0.0615,0.0327,0.0945,0.041
A,cpu,LastFM,shared,45,0.0468,0.0301,0.0697,0.0376,0.0972,0.0446
A,cpu,LastFM,shared,46,0.0422,0.0264,0.0642,0.0333,0.1055,0.0436
A,mps,ML-1M,causal_full,42,0.1281,0.0827,0.2048,0.1074,0.3179,0.1357
A,mps,ML-1M,causal_full,43,0.1313,0.083,0.2073,0.1073,0.321,0.1359
A,mps,ML-1M,causal_full,44,0.12,0.0767,0.1992,0.102,0.3083,0.1295
A,mps,ML-1M,causal_full,45,0.1247,0.0817,0.2017,0.1064,0.3149,0.1349
A,mps,ML-1M,causal_full,46,0.1224,0.0797,0.1952,0.1031,0.3066,0.1311
A,mps,ML-1M,causal_shared,42,0.1219,0.0787,0.2025,0.1045,0.3129,0.1325
A,mps,ML-1M,causal_shared,43,0.1205,0.0764,0.1944,0.0999,0.3038,0.1274
A,mps,ML-1M,causal_shared,44,0.1147,0.0715,0.1887,0.0953,0.2954,0.1221
A,mps,ML-1M,causal_shared,45,0.1227,0.0791,0.1992,0.1036,0.3063,0.1304
A,mps,ML-1M,causal_shared,46,0.1252,0.0796,0.1964,0.1024,0.3035,0.1293
A,mps,ML-1M,full,42,0.1286,0.0839,0.2146,0.1115,0.3258,0.1395
A,mps,ML-1M,full,43,0.131,0.0848,0.2101,0.1102,0.3192,0.1377
A,mps,ML-1M,full,44,0.1238,0.0806,0.1947,0.1034,0.3073,0.1318
A,mps,ML-1M,full,45,0.1275,0.0854,0.2109,0.1123,0.3129,0.1379
A,mps,ML-1M,full,46,0.1305,0.0853,0.2076,0.1101,0.3169,0.1376
A,mps,ML-1M,none,42,0.1022,0.0646,0.1623,0.084,0.2427,0.1043
A,mps,ML-1M,none,43,0.106,0.0699,0.1674,0.0898,0.248,0.1101
A,mps,ML-1M,none,44,0.1035,0.0671,0.1641,0.0866,0.2377,0.1051
A,mps,ML-1M,none,45,0.1015,0.0676,0.1616,0.0869,0.2343,0.1052
A,mps,ML-1M,none,46,0.1106,0.0748,0.1707,0.094,0.2493,0.1138
A,mps,ML-1M,rank1,42,0.1175,0.0755,0.1864,0.0976,0.3007,0.1262
A,mps,ML-1M,rank1,43,0.1205,0.0787,0.198,0.1036,0.303,0.1299
A,mps,ML-1M,rank1,44,0.1268,0.0782,0.2028,0.1025,0.3192,0.1318
A,mps,ML-1M,rank1,45,0.12,0.0759,0.1925,0.099,0.2967,0.1252
A,mps,ML-1M,rank1,46,0.1217,0.0773,0.1922,0.1,0.2992,0.1269
A,mps,ML-1M,shared,42,0.1152,0.0744,0.1889,0.098,0.2998,0.1259
A,mps,ML-1M,shared,43,0.1108,0.069,0.1843,0.0926,0.2868,0.1184
A,mps,ML-1M,shared,44,0.1166,0.0747,0.1901,0.0984,0.2955,0.1247
A,mps,ML-1M,shared,45,0.1214,0.0771,0.1894,0.099,0.2955,0.1256
A,mps,ML-1M,shared,46,0.1137,0.0734,0.1876,0.0971,0.2969,0.1246
A,mps,Toys_and_Games,full,42,0.0476,0.0321,0.0677,0.0385,0.1,0.0467
A,mps,Toys_and_Games,full,43,0.0452,0.031,0.065,0.0374,0.0903,0.0438
A,mps,Toys_and_Games,full,44,0.0441,0.0298,0.0656,0.0367,0.0932,0.0437
A,mps,Toys_and_Games,full,45,0.0442,0.0297,0.0666,0.0369,0.0958,0.0443
A,mps,Toys_and_Games,full,46,0.046,0.0314,0.0668,0.0381,0.0941,0.045
A,mps,Toys_and_Games,none,42,0.0313,0.0214,0.0451,0.0258,0.0672,0.0314
A,mps,Toys_and_Games,none,43,0.0301,0.02,0.0447,0.0247,0.0646,0.0297
A,mps,Toys_and_Games,none,44,0.0346,0.0237,0.0513,0.0291,0.0762,0.0354
A,mps,Toys_and_Games,none,45,0.0366,0.0253,0.0526,0.0304,0.0747,0.036
A,mps,Toys_and_Games,none,46,0.0324,0.022,0.0498,0.0276,0.0731,0.0335
A,mps,Toys_and_Games,rank1,42,0.0422,0.028,0.0647,0.0352,0.0968,0.0433
A,mps,Toys_and_Games,rank1,43,0.0455,0.0313,0.0673,0.0383,0.0967,0.0457
A,mps,Toys_and_Games,rank1,44,0.0416,0.0284,0.0629,0.0352,0.0916,0.0425
A,mps,Toys_and_Games,rank1,45,0.0452,0.031,0.0677,0.0382,0.1,0.0463
A,mps,Toys_and_Games,rank1,46,0.0449,0.0305,0.0688,0.0382,0.0991,0.0458
A,mps,Toys_and_Games,shared,42,0.0438,0.029,0.0645,0.0357,0.0951,0.0434
A,mps,Toys_and_Games,shared,43,0.0455,0.0305,0.0677,0.0376,0.0971,0.045
A,mps,Toys_and_Games,shared,44,0.0412,0.028,0.064,0.0354,0.0929,0.0426
A,mps,Toys_and_Games,shared,45,0.0438,0.0291,0.0673,0.0367,0.0962,0.0439
A,mps,Toys_and_Games,shared,46,0.0423,0.0279,0.0626,0.0345,0.0896,0.0413
