scope,cohort,graph,relation,metric,value,numerator,denominator
primary,bottom_frequency_minus_launch_cold,completed_minus_prefix,,total_support_gap_pp,-2.6749611197511625,,
primary,launch_cold,completed_minus_prefix,,future_graph_only_rate,0.060808709175738773,,6430
secondary,random_minus_launch_cold,completed_minus_prefix,,random_gap_pp,-3.2348367029548908,,
cohort,launch_cold,prefix,,link_rate,0.63499222395023325,4083,6430
cohort,launch_cold,prefix,,empty_attribute_rate,0.049300155520995335,317,6430
cohort,launch_cold,prefix,,mean_distinct_neighbors,1018.7819595645412,,6430
cohort,launch_cold,prefix,,median_distinct_neighbors,3,,6430
relation,launch_cold,prefix,store,link_rate,0.43701399688958009,2810,6430
relation,launch_cold,prefix,manufacturer,link_rate,0.36998444790046658,2379,6430
relation,launch_cold,prefix,label,link_rate,0.36905132192846035,2373,6430
relation,launch_cold,prefix,brand,link_rate,0.0023328149300155523,15,6430
relation,launch_cold,prefix,category,link_rate,0,0,6430
relation,launch_cold,prefix,feature,link_rate,0,0,6430
cohort,launch_cold,completed,,link_rate,0.69580093312597202,4474,6430
cohort,launch_cold,completed,,empty_attribute_rate,0.049300155520995335,317,6430
cohort,launch_cold,completed,,mean_distinct_neighbors,1367.4978227060653,,6430
cohort,launch_cold,completed,,median_distinct_neighbors,5,,6430
relation,launch_cold,completed,store,link_rate,0.50435458786936238,3243,6430
relation,launch_cold,completed,manufacturer,link_rate,0.42223950233281493,2715,6430
relation,launch_cold,completed,label,link_rate,0.4213063763608087,2709,6430
relation,launch_cold,completed,brand,link_rate,0.0024883359253499221,16,6430
relation,launch_cold,completed,category,link_rate,0,0,6430
relation,launch_cold,completed,feature,link_rate,0,0,6430
cohort,bottom_frequency,completed,,link_rate,0.60824261275272162,3911,6430
cohort,bottom_frequency,completed,,empty_attribute_rate,0.0082426127527216175,53,6430
cohort,bottom_frequency,completed,,mean_distinct_neighbors,2469.2822706065317,,6430
cohort,bottom_frequency,completed,,median_distinct_neighbors,2,,6430
relation,bottom_frequency,completed,store,link_rate,0.44665629860031103,2872,6430
relation,bottom_frequency,completed,manufacturer,link_rate,0.24883359253499224,1600,6430
relation,bottom_frequency,completed,label,link_rate,0.24836702954898912,1597,6430
relation,bottom_frequency,completed,brand,link_rate,0,0,6430
relation,bottom_frequency,completed,category,link_rate,0,0,6430
relation,bottom_frequency,completed,feature,link_rate,0,0,6430
cohort,random,completed,,link_rate,0.60264385692068434,3875,6430
cohort,random,completed,,empty_attribute_rate,0.048678071539657856,313,6430
cohort,random,completed,,mean_distinct_neighbors,1975.2631415241058,,6430
cohort,random,completed,,median_distinct_neighbors,2,,6430
relation,random,completed,store,link_rate,0.42472783825816485,2731,6430
relation,random,completed,manufacturer,link_rate,0.27869362363919131,1792,6430
relation,random,completed,label,link_rate,0.27480559875583205,1767,6430
relation,random,completed,brand,link_rate,0.00062208398133748052,4,6430
relation,random,completed,category,link_rate,0.00015552099533437013,1,6430
relation,random,completed,feature,link_rate,0.00031104199066874026,2,6430
