"qid","news_frequency","api_ok","current_revision","current_modified_utc","historical_absent_at_cutoff","historical_revision","historical_revision_timestamp_utc","current_fact_count","historical_fact_count","current_only_count","historical_only_count","jaccard","error"
"Q22686","1903","True","2528152967","2026-08-06T15:11:31Z","False","1052047802","2019-11-13T13:48:41Z","192","125","89","22","0.481308411214953",
"Q30","1132","True","2528128565","2026-08-06T13:58:40Z","False","1052155592","2019-11-13T16:19:08Z","815","736","91","12","0.875453446191052",
"Q1215884","840","True","2517088413","2026-07-13T14:59:45Z","False","1053291809","2019-11-15T16:12:09Z","17","10","7","0","0.588235294117647",
"Q99","663","True","2525267750","2026-07-31T18:32:17Z","False","1050508875","2019-11-11T14:05:53Z","201","184","32","15","0.782407407407407",
"Q193390","653","True","2524767947","2026-07-30T10:10:33Z","False","1041940284","2019-10-31T05:11:43Z","21","14","8","1","0.590909090909091",
"Q29552","491","True","2517637793","2026-07-15T04:20:43Z","False","1021020259","2019-09-27T11:31:42Z","86","22","71","7","0.161290322580645",
"Q848117","473","True","2526626706","2026-08-03T04:49:23Z","False","1053056505","2019-11-15T05:12:16Z","12","7","5","0","0.583333333333333",
"Q212","454","True","2525548796","2026-08-01T07:50:52Z","False","1047222275","2019-11-07T07:22:08Z","288","237","59","8","0.773648648648649",
"Q29468","439","True","2524428205","2026-07-29T18:05:58Z","False","1032213708","2019-10-15T03:27:06Z","57","23","35","1","0.379310344827586",
"Q812","404","True","2522620368","2026-07-25T19:10:20Z","False","1049763519","2019-11-10T12:14:05Z","158","134","26","2","0.825",
"Q223527","369","True","2519113332","2026-07-18T13:37:41Z","False","1013599969","2019-09-15T01:00:37Z","19","15","4","0","0.789473684210526",
"Q825838","369","True","2514309114","2026-07-06T02:28:02Z","False","1053056565","2019-11-15T05:12:34Z","15","11","5","1","0.625",
"Q265538","343","True","2527254512","2026-08-04T18:14:14Z","False","1042267032","2019-10-31T16:29:03Z","13","7","7","1","0.428571428571429",
"Q858","341","True","2527711057","2026-08-05T17:47:31Z","False","1052546997","2019-11-14T05:01:19Z","148","129","29","10","0.753164556962025",
"Q251868","329","True","2525902763","2026-08-01T23:15:32Z","False","1053153289","2019-11-15T10:08:48Z","27","5","22","0","0.185185185185185",
"Q918","327","True","2527572922","2026-08-05T09:56:25Z","False","1053009823","2019-11-15T01:35:34Z","75","22","58","5","0.2125",
"Q35525","319","True","2517496572","2026-07-14T19:35:20Z","False","1052745660","2019-11-14T13:47:23Z","53","20","38","5","0.258620689655172",
"Q1397","317","True","2522882731","2026-07-26T11:26:53Z","False","1052452361","2019-11-14T00:41:29Z","158","137","27","6","0.798780487804878",
"Q1439","317","False","2522883460","2026-07-26T11:29:37Z","False",,,"337","0","337","0","0","The remote server returned an error: (429) Too Many Requests."
"Q191477","317","False","2523227009","2026-07-27T03:45:19Z","False",,,"18","0","18","0","0","The remote server returned an error: (429) Too Many Requests."
"Q155223","279","False","2525232872","2026-07-31T16:39:10Z","False",,,"107","0","107","0","0","The remote server returned an error: (429) Too Many Requests."
"Q204862","268","False","2514966950","2026-07-08T03:33:12Z","False",,,"18","0","18","0","0","The remote server returned an error: (429) Too Many Requests."
"Q1166","258","False","2522708562","2026-07-26T00:01:10Z","False",,,"179","0","179","0","0","The remote server returned an error: (429) Too Many Requests."
"Q148","258","False","2528135453","2026-08-06T14:18:25Z","False",,,"722","0","722","0","0","The remote server returned an error: (429) Too Many Requests."
"Q213417","255","False","2527361338","2026-08-04T23:05:16Z","False",,,"23","0","23","0","0","The remote server returned an error: (429) Too Many Requests."
"Q355","250","False","2527574010","2026-08-05T09:59:13Z","False",,,"45","0","45","0","0","The remote server returned an error: (429) Too Many Requests."
"Q223522","249","False","2508291777","2026-06-20T10:01:28Z","False",,,"33","0","33","0","0","The remote server returned an error: (429) Too Many Requests."
"Q65","244","False","2528128738","2026-08-06T13:59:07Z","False",,,"133","0","133","0","0","The remote server returned an error: (429) Too Many Requests."
"Q276539","243","False","2522637040","2026-07-25T20:00:41Z","False",,,"17","0","17","0","0","The remote server returned an error: (429) Too Many Requests."
"Q40469","241","False","2516971389","2026-07-13T08:10:37Z","False",,,"45","0","45","0","0","The remote server returned an error: (429) Too Many Requests."
"Q219714","234","True","2483156765","2026-04-19T16:30:09Z","False","1046910952","2019-11-06T22:11:37Z","25","22","3","0","0.88",
"Q1408","228","True","2524095358","2026-07-28T22:13:19Z","False","1052452796","2019-11-14T00:42:42Z","153","132","24","3","0.826923076923077",
"Q221878","227","True","2461970726","2026-02-09T11:59:07Z","False","994949783","2019-08-11T14:04:51Z","20","14","6","0","0.7",
"Q1297","225","True","2522678387","2026-07-25T22:05:07Z","False","1052155338","2019-11-13T16:18:49Z","152","120","39","7","0.710691823899371",
"Q219602","215","True","2523221808","2026-07-27T03:31:38Z","False","1046915309","2019-11-06T22:17:40Z","27","12","15","0","0.444444444444444",
"Q223507","204","True","2526288822","2026-08-02T15:21:45Z","False","1026553361","2019-10-05T19:55:45Z","21","14","8","1","0.590909090909091",
"Q1454","195","True","2522882599","2026-07-26T11:26:13Z","False","1052452869","2019-11-14T00:42:55Z","171","149","27","5","0.818181818181818",
"Q2429253","191","True","2525301094","2026-07-31T19:57:13Z","False","1052463058","2019-11-14T01:08:27Z","96","60","42","6","0.529411764705882",
"Q11701","189","True","2524766207","2026-07-30T10:05:20Z","False","1053163522","2019-11-15T10:32:12Z","31","16","16","1","0.46875",
"Q271880","189","True","2515662754","2026-07-09T21:11:05Z","False","1046916203","2019-11-06T22:18:51Z","16","11","6","1","0.588235294117647",
"Q6279","189","False","2527832367","2026-08-05T22:08:02Z","False",,,"107","0","107","0","0","The remote server returned an error: (429) Too Many Requests."
"Q313381","186","False","2522642111","2026-07-25T20:16:21Z","False",,,"35","0","35","0","0","The remote server returned an error: (429) Too Many Requests."
"Q1509","183","False","2522883334","2026-07-26T11:29:15Z","False",,,"156","0","156","0","0","The remote server returned an error: (429) Too Many Requests."
"Q223511","183","False","2526626772","2026-08-03T04:49:43Z","False",,,"16","0","16","0","0","The remote server returned an error: (429) Too Many Requests."
"Q43","180","False","2528128697","2026-08-06T13:59:00Z","False",,,"452","0","452","0","0","The remote server returned an error: (429) Too Many Requests."
