series,x,mean,ci_low,ci_high,seed_20260901,seed_20260902,seed_20260903,seed_20260904,seed_20260905,seed_20260906,seed_20260907,seed_20260908
signed_delta_tap,0,0.0185065717,0.0121922553,0.024820888,0.0145820174,0.0162326992,0.0199800916,0.0222567264,0.0167780034,0.00398229156,0.0268284641,0.0274122804
signed_delta_tap,1,0.330547154,0.323124934,0.337969374,0.33540684,0.329944521,0.335864067,0.327169597,0.32866475,0.346943051,0.319399863,0.320984304
signed_delta_tap,2,0.238891229,0.234707283,0.243075175,0.243290186,0.240342408,0.23975201,0.241046831,0.235713303,0.246036008,0.230896324,0.234052643
signed_delta_tap,3,0.194043428,0.190894079,0.197192777,0.202442065,0.19175601,0.193290785,0.194654852,0.1925475,0.194207624,0.189532891,0.193915755
signed_delta_tap,4,0.155097827,0.151360417,0.158835238,0.165581554,0.153770149,0.152860299,0.152415946,0.15506494,0.15314278,0.151774138,0.156172797
signed_delta_tap,5,0.133784637,0.132505208,0.135064066,0.134995997,0.132116094,0.135373786,0.134953439,0.133822337,0.130939901,0.134159029,0.133916527
signed_delta_tap,6,0.118214712,0.11506191,0.121367513,0.125649154,0.122374766,0.116691478,0.117156476,0.114862144,0.115291223,0.11689356,0.116798878
signed_delta_tap,7,0.11164923,0.109274215,0.114024245,0.116386347,0.115327626,0.110180199,0.110452212,0.111163139,0.107865766,0.111711055,0.110107563
signed_delta_tap,8,0.09291026,0.0914646698,0.0943558501,0.0954959542,0.0922353789,0.0936032683,0.0933783799,0.0925107449,0.0894228145,0.0928516537,0.093783915
signed_delta_tap,9,0.0940891057,0.0911065053,0.0970717062,0.0942688808,0.0925134644,0.093434602,0.100907952,0.0958199501,0.0883322805,0.0924445689,0.0949911922
signed_delta_tap,10,0.0748419166,0.0720186464,0.0776651868,0.0788056403,0.0745807067,0.0765966251,0.0730418712,0.0786098614,0.0683973208,0.0752237439,0.0734795853
signed_delta_tap,11,0.0730358958,0.0705640243,0.0755077673,0.0751277432,0.0734469816,0.0697849989,0.0769684464,0.0735982507,0.0728784949,0.0746932179,0.0677890778
signed_delta_tap,12,0.0637484044,0.0602781564,0.0672186524,0.0648596212,0.0661349371,0.0617797151,0.0694957599,0.0660213605,0.0554803386,0.0642087162,0.0620068274
signed_delta_tap,13,0.0689742714,0.0663101946,0.0716383482,0.072759144,0.0716886148,0.0667587668,0.07104709,0.0714697987,0.0637381002,0.0671909973,0.067141667
signed_delta_tap,14,0.0638225079,0.0614635683,0.0661814474,0.0619327426,0.0656443089,0.0611682236,0.0686894208,0.0626822636,0.0644560903,0.0657481104,0.0602588989
signed_delta_tap,15,0.0613349862,0.0586944398,0.0639755327,0.0629143491,0.0645156354,0.0559762977,0.0646559149,0.0612316765,0.0575745292,0.0630618632,0.0607496016
absolute_delta_tap,0,0.0799465328,0.0760419849,0.0838510808,0.0798075646,0.0781980455,0.0729682371,0.0788496882,0.081359677,0.0897010267,0.0783851743,0.0803028494
absolute_delta_tap,1,0.330547154,0.323124934,0.337969374,0.33540684,0.329944521,0.335864067,0.327169597,0.32866475,0.346943051,0.319399863,0.320984304
absolute_delta_tap,2,0.239038944,0.234961898,0.243115991,0.243290186,0.240342408,0.23975201,0.241046831,0.236335069,0.246036008,0.230896324,0.234612539
absolute_delta_tap,3,0.194531083,0.191466629,0.197595537,0.202442065,0.19175601,0.193290785,0.195174232,0.194651246,0.194207624,0.189883575,0.194843143
absolute_delta_tap,4,0.156018481,0.152453242,0.15958372,0.165581554,0.153770149,0.154182479,0.152415946,0.158115894,0.15314278,0.154702812,0.156236246
absolute_delta_tap,5,0.134796843,0.133056604,0.136537082,0.136418819,0.133456811,0.135597378,0.134953439,0.137975976,0.130939901,0.134737968,0.13429442
