panel,series,label,x,estimate,ci_lo,ci_hi,n_per_arm,estimator,analysis_id
A,tfv2_forest,"MI  text$-$ID tail (8v8, freq-5-heavy)",,0.00042,0.000181,0.00066,8,Welch-95CI-tie-safe-tail,TFV2_ADJUDICATION.md
A,tfv2_forest,"VG  text$-$ID tail (8v8)",,0.000173,-6.5e-05,0.000411,8,Welch-95CI-tie-safe-tail,TFV2_ADJUDICATION.md
A,tfv2_forest,"MI$-$VG interaction (four-arm)",,0.000247,-7.6e-05,0.00057,8,Welch-95CI-tie-safe-tail,TFV2_ADJUDICATION.md
B,head_delta,,1.0,0.00221,,,5,level-contrast-one-draw,S5.4-titration
B,tail_delta,,1.0,-0.000148,,,5,level-contrast-one-draw,S5.4-titration
B,head_delta,,0.94,0.00239,,,5,level-contrast-one-draw,S5.4-titration
B,tail_delta,,0.94,0.000165,,,5,level-contrast-one-draw,S5.4-titration
B,head_delta,,0.91,0.00254,,,5,level-contrast-one-draw,S5.4-titration
B,tail_delta,,0.91,3.9e-05,,,5,level-contrast-one-draw,S5.4-titration
B,head_delta,,0.88,0.00252,,,5,level-contrast-one-draw,S5.4-titration
B,tail_delta,,0.88,0.000537,,,5,level-contrast-one-draw,S5.4-titration
B,head_delta,,0.78,0.00266,,,5,level-contrast-one-draw,S5.4-titration
B,tail_delta,,0.78,5.6e-05,,,5,level-contrast-one-draw,S5.4-titration
B,head_delta,,0.66,0.00354,,,5,level-contrast-one-draw,S5.4-titration
B,tail_delta,,0.66,-0.000108,,,5,level-contrast-one-draw,S5.4-titration
C,tail_ratio,"VG full (ipi 24.5, u/i 3.70)",,0.971,,,5,ratio-descriptive-one-draw,S5.4.1-5.4.2
C,head_ratio,"VG full (ipi 24.5, u/i 3.70)",,1.026,,,5,ratio-descriptive-one-draw,S5.4.1-5.4.2
C,tail_ratio,"VG int-thin $\rho$=0.66 (16.2, ~3.4)",,0.971,,,5,ratio-descriptive-one-draw,S5.4.1-5.4.2
C,head_ratio,"VG int-thin $\rho$=0.66 (16.2, ~3.4)",,1.049,,,5,ratio-descriptive-one-draw,S5.4.1-5.4.2
C,tail_ratio,"VG user-thin $\rho_u$=0.66 (16.1, 2.44)",,1.046,,,5,ratio-descriptive-one-draw,S5.4.1-5.4.2
C,head_ratio,"VG user-thin $\rho_u$=0.66 (16.1, 2.44)",,1.039,,,5,ratio-descriptive-one-draw,S5.4.1-5.4.2
C,tail_ratio,"MI native (16.2, 2.34)",,1.276,,,5,ratio-descriptive-one-draw,S5.4.1-5.4.2
C,head_ratio,"MI native (16.2, 2.34)",,1.101,,,5,ratio-descriptive-one-draw,S5.4.1-5.4.2
#,generator_sha256_16,870f0698a5e85594,,,,,,,
